case,candidate_id,radius_dx,theta_proxy,C0theta_proxy,source,stage,missing_terms
c413,lambda_abs2_omega_top2:ti14:c413:lag4,0.0,0.5289346364245441,0.5289346364245441,targeted_dichotomy_G_over_ledger_total_C1,sparse_skeleton,full_Domega_continuum
c413,lambda_abs2_omega_top2:ti14:c413:lag4,0.25,0.30806272899700204,0.30806272899700204,targeted_dichotomy_G_over_ledger_total_C1,first_catalog_finite,full_Domega_continuum
c185,lambda_frac0p2_omega_top2:ti7:c185:lag4,0.0,0.6525642895899976,0.6525642895899976,targeted_dichotomy_G_over_ledger_total_C1,sparse_skeleton,full_Domega_continuum
c185,lambda_frac0p2_omega_top2:ti7:c185:lag4,0.25,0.37483069614973774,0.37483069614973774,targeted_dichotomy_G_over_ledger_total_C1,first_catalog_finite,full_Domega_continuum
c309,lambda_abs2_omega_top2:ti8:c309:lag8,0.0,0.7132028405648811,0.7132028405648811,targeted_dichotomy_G_over_ledger_total_C1,sparse_skeleton,full_Domega_continuum
c309,lambda_abs2_omega_top2:ti8:c309:lag8,0.25,0.027052192493820446,0.027052192493820446,targeted_dichotomy_G_over_ledger_total_C1,first_catalog_finite,full_Domega_continuum
c309,lambda_abs2_omega_top2:ti8:c309:lag8,1.0,0.14274644016414648,0.14274644016414648,targeted_dichotomy_G_over_ledger_total_C1,max_Q_catalog_finite,full_Domega_continuum
c413,lambda_abs2_omega_top2:ti14:c413:lag4,0.1,0.3604983368954157,0.3604983368954157,targeted_dichotomy_G_over_ledger_total_C1,first_shell_cumulative_0p1dx,full_Domega_continuum
c185,lambda_frac0p2_omega_top2:ti7:c185:lag4,0.1,0.40765172307675446,0.40765172307675446,targeted_dichotomy_G_over_ledger_total_C1,first_shell_cumulative_0p1dx,full_Domega_continuum
c309,lambda_abs2_omega_top2:ti8:c309:lag8,0.1,0.0,0.0,targeted_dichotomy_G_over_ledger_total_C1,first_shell_cumulative_0p1dx,full_Domega_continuum
c185,lambda_frac0p2_omega_top2:ti7:c185:lag4,,0.9671165031288596,0.9671165031288596,ARR_ratio_with_renewal_exposure,ARR_final81,promoted_membership_for_split_attack
